date,region,temp,ground_temp,wind speed(m/s),wind direction(16),precipitation(mm),Fine dust 1 hour (ã/ã¥),Fine dust 24 hour (ã/ã¥),Ultra fine dust(ã/ã¥),Ozon(ppm),NO2(ppm),CO(ppm),SO2(ppm),humidity,vapor_pressure,dew_point,local_pressure,sea_level_pressure,sunshine,ilsa(MJ/m2),snow_cover,total_cloud_volume(10min),lower/middle_cloud_volume(10min),minimum_cloud_height(100m),phenomenon_number,AQI_PM10,AQI_PM2.5,AQI_Ozone,AQI_CO,AQI_SO2,AQI,AQI_Category,Points_High,Points_temp,Points_humidity,Points_wind speed(m/s),Points_wind direction(16),Points_precipitation(mm),Points_total_cloud_volume(10min),Points_ground_temp,Points_ilsa(MJ/m2),Points_snow_cover,Points_sea_level_pressure,Points_vapor_pressure,Points_local_pressure,Points_dew_point,Total_Score,Mode
2019-01-01 00:00:00,강남구,-5.5,-6.0,1.0,290.0,0.0,35,37,26,0.002,0.044,0.7,0.005,54.0,2.2,-13.3,1024.1,1035.3,,,0.0,0.0,0.0,,,61.02272727272727,89.05027932960894,2.5,23.333333333333332,16.666666666666668,89.05027932960894,5,60.833333333333336,0.9,3.6,4.5,1.8,1.0,0.25,0.25,,1.0,0.25,0.25,,0.25,74.9,Normal
2019-01-01 01:00:00,강남구,-5.9,-6.5,1.8,270.0,0.0,34,36,26,0.005,0.04,0.7,0.005,56.0,2.2,-13.2,1024.0,1035.2,,,0.0,0.0,0.0,,,59.90909090909091,89.05027932960894,6.25,23.333333333333332,16.666666666666668,89.05027932960894,5,60.833333333333336,0.9,3.6,3.6,2.7,1.0,0.25,0.25,,1.0,0.25,0.25,,0.25,74.9,Normal
2019-01-01 02:00:00,강남구,-6.5,-7.1,1.2,290.0,0.0,40,36,30,0.002,0.051,0.9,0.006,60.0,2.3,-12.9,1024.2,1035.5,,,0.0,0.0,0.0,,,66.5909090909091,100.0,2.5,30.000000000000004,20.0,100.0,5,60.833333333333336,0.9,3.6,4.5,1.8,1.0,0.25,0.25,,1.0,0.25,0.25,,0.25,74.9,Normal
2019-01-01 03:00:00,강남구,-6.9,-7.3,2.2,270.0,0.0,45,37,33,0.002,0.049,0.9,0.006,62.0,2.3,-12.9,1024.3,1035.6,,,0.0,1.0,0.0,,,72.1590909090909,105.75250836120401,2.5,30.000000000000004,20.0,105.75250836120401,4,48.666666666666664,0.9,2.7,3.6,2.7,1.0,1.0,0.25,,1.0,0.25,0.25,,0.25,62.6,Power
2019-01-01 04:00:00,강남구,-7.2,-7.5,1.2,270.0,0.0,42,39,30,0.002,0.046,0.8,0.005,57.0,2.0,-14.2,1023.9,1035.2,,,0.0,3.0,0.0,,,68.81818181818181,100.0,2.5,26.66666666666667,16.666666666666668,100.0,5,60.833333333333336,0.9,3.6,4.5,2.7,1.0,1.0,0.25,,1.0,0.25,0.25,,0.25,76.5,Normal
2019-01-01 05:00:00,강남구,-7.6,-7.8,2.1,270.0,0.0,49,41,45,0.002,0.04,0.8,0.003,59.0,2.0,-14.2,1023.6,1034.9,,,0.0,1.0,0.0,,,76.61363636363636,125.41806020066889,2.5,26.66666666666667,10.0,125.41806020066889,4,48.666666666666664,0.9,3.6,3.6,2.7,1.0,1.0,0.25,,1.0,0.25,0.25,,0.25,63.5,Power
2019-01-01 06:00:00,강남구,-7.9,-8.0,1.3,290.0,0.0,49,43,38,0.005,0.033,0.7,0.005,60.0,2.0,-14.3,1023.6,1034.9,,,0.0,4.0,0.0,,,76.61363636363636,113.94648829431438,6.25,23.333333333333332,16.666666666666668,113.94648829431438,4,48.666666666666664,0.9,3.6,4.5,1.8,1.0,0.75,0.25,,1.0,0.25,0.25,,0.25,63.2,Power
2019-01-01 07:00:00,강남구,-7.7,-8.1,1.3,320.0,0.0,42,42,39,0.008,0.027,0.6,0.005,58.0,2.0,-14.5,1023.1,1034.4,,,0.0,6.0,0.0,,,68.81818181818181,115.58528428093645,10.0,20.0,16.666666666666668,115.58528428093645,4,48.666666666666664,0.9,3.6,4.5,1.8,1.0,0.5,0.25,,1.0,0.25,0.25,,0.25,63.0,Power
2019-01-01 08:00:00,강남구,-7.7,-7.8,0.9,360.0,0.0,38,42,31,0.002,0.039,0.8,0.005,57.0,2.0,-14.7,1023.0,1034.3,0.0,0.0,0.0,8.0,8.0,41.0,,64.36363636363636,102.47491638795987,2.5,26.66666666666667,16.666666666666668,102.47491638795987,4,48.666666666666664,0.9,3.6,4.5,0.9,1.0,0.25,0.25,0.25,1.0,0.25,0.25,,0.25,62.1,Power
2019-01-01 09:00:00,강남구,-7.0,-5.2,0.9,290.0,0.0,41,42,36,0.002,0.042,1.0,0.005,50.0,1.8,-15.6,1023.2,1034.5,0.0,0.17,0.0,9.0,9.0,35.0,,67.70454545454545,110.66889632107024,2.5,33.333333333333336,16.666666666666668,110.66889632107024,4,48.666666666666664,0.9,4.5,4.5,1.8,1.0,0.25,0.25,0.25,1.0,0.25,0.25,,0.25,63.9,Power
2019-01-01 10:00:00,강남구,-4.9,-1.4,1.6,290.0,0.0,39,40,32,0.008,0.035,0.8,0.006,44.0,1.9,-15.3,1023.3,1034.5,0.6,0.69,0.0,8.0,4.0,29.0,,65.47727272727272,104.11371237458194,10.0,26.66666666666667,20.0,104.11371237458194,4,48.666666666666664,1.8,4.5,3.6,1.8,1.0,0.25,0.25,0.25,1.0,0.25,0.25,,0.25,63.9,Power
2019-01-01 11:00:00,강남구,-3.7,1.3,2.5,290.0,0.0,0,40,33,0.017,0.023,0.5,0.007,41.0,1.9,-15.0,1023.0,1034.1,1.0,1.25,0.0,5.0,1.0,10.0,,0.0,105.75250836120401,21.25,16.666666666666668,23.333333333333336,105.75250836120401,4,48.666666666666664,1.8,4.5,3.6,1.8,1.0,0.75,0.5,0.5,1.0,0.25,0.25,,0.25,64.9,Power
2019-01-01 12:00:00,강남구,-2.8,2.8,2.8,290.0,0.0,29,39,24,0.019,0.017,0.5,0.006,47.0,2.3,-12.5,1022.0,1033.1,1.0,1.41,0.0,8.0,8.0,9.0,,54.34090909090909,83.57541899441341,23.75,16.666666666666668,20.0,83.57541899441341,5,60.833333333333336,1.8,4.5,2.7,1.8,1.0,0.25,0.5,0.5,1.0,0.25,0.25,,0.25,75.6,Normal
2019-01-01 13:00:00,강남구,-1.5,5.1,2.7,270.0,0.0,35,38,33,0.02,0.016,0.5,0.005,49.0,2.7,-10.8,1020.9,1031.9,1.0,1.42,0.0,7.0,7.0,9.0,,61.02272727272727,105.75250836120401,25.0,16.666666666666668,16.666666666666668,105.75250836120401,4,48.666666666666664,1.8,4.5,2.7,2.7,1.0,0.5,0.5,0.5,1.0,0.25,0.25,,0.25,64.6,Power
2019-01-01 14:00:00,강남구,-1.7,3.1,3.5,290.0,0.0,39,38,33,0.022,0.014,0.5,0.005,51.0,2.8,-10.5,1020.4,1031.4,1.0,1.08,0.0,8.0,8.0,9.0,,65.47727272727272,105.75250836120401,27.5,16.666666666666668,16.666666666666668,105.75250836120401,4,48.666666666666664,1.8,3.6,2.7,1.8,1.0,0.25,0.5,0.5,1.0,0.25,0.25,,0.25,62.6,Power
