place,date,temp,precipitation(mm),wind speed(m/s),wind direction(16),humidity,vapor_pressure,dew_point,local_pressure,sea_level_pressure,sunshine,ilsa(MJ/m2),snow_cover,total_cloud_volume(10min),lower/middle_cloud_volume(10min),minimum_cloud_height(100m),phenomenon_number,ground_temp
108,2019-01-01 00:00,-5.5,,1.0,290.0,54.0,2.2,-13.3,1024.1,1035.3,,,,0.0,0.0,,,-6.0
108,2019-01-01 01:00,-5.9,,1.8,270.0,56.0,2.2,-13.2,1024.0,1035.2,,,,0.0,0.0,,,-6.5
108,2019-01-01 02:00,-6.5,,1.2,290.0,60.0,2.3,-12.9,1024.2,1035.5,,,,0.0,0.0,,,-7.1
108,2019-01-01 03:00,-6.9,,2.2,270.0,62.0,2.3,-12.9,1024.3,1035.6,,,,1.0,0.0,,,-7.3
108,2019-01-01 04:00,-7.2,,1.2,270.0,57.0,2.0,-14.2,1023.9,1035.2,,,,3.0,0.0,,,-7.5
108,2019-01-01 05:00,-7.6,,2.1,270.0,59.0,2.0,-14.2,1023.6,1034.9,,,,1.0,0.0,,,-7.8
108,2019-01-01 06:00,-7.9,,1.3,290.0,60.0,2.0,-14.3,1023.6,1034.9,,,,4.0,0.0,,,-8.0
108,2019-01-01 07:00,-7.7,,1.3,320.0,58.0,2.0,-14.5,1023.1,1034.4,,,,6.0,0.0,,,-8.1
108,2019-01-01 08:00,-7.7,,0.9,360.0,57.0,2.0,-14.7,1023.0,1034.3,0.0,0.0,,8.0,8.0,41.0,,-7.8
108,2019-01-01 09:00,-7.0,,0.9,290.0,50.0,1.8,-15.6,1023.2,1034.5,0.0,0.17,,9.0,9.0,35.0,,-5.2
108,2019-01-01 10:00,-4.9,,1.6,290.0,44.0,1.9,-15.3,1023.3,1034.5,0.6,0.69,,8.0,4.0,29.0,,-1.4
108,2019-01-01 11:00,-3.7,,2.5,290.0,41.0,1.9,-15.0,1023.0,1034.1,1.0,1.25,,5.0,1.0,10.0,,1.3
108,2019-01-01 12:00,-2.8,,2.8,290.0,47.0,2.3,-12.5,1022.0,1033.1,1.0,1.41,,8.0,8.0,9.0,,2.8
108,2019-01-01 13:00,-1.5,,2.7,270.0,49.0,2.7,-10.8,1020.9,1031.9,1.0,1.42,,7.0,7.0,9.0,,5.1
108,2019-01-01 14:00,-1.7,,3.5,290.0,51.0,2.8,-10.5,1020.4,1031.4,1.0,1.08,,8.0,8.0,9.0,,3.1
108,2019-01-01 15:00,-1.5,,3.0,270.0,46.0,2.5,-11.6,1020.7,1031.7,0.8,0.66,,4.0,3.0,10.0,,1.2
108,2019-01-01 16:00,-0.9,,3.2,270.0,45.0,2.6,-11.3,1020.6,1031.6,1.0,0.87,,2.0,2.0,11.0,,1.5
108,2019-01-01 17:00,-1.8,,2.2,290.0,48.0,2.6,-11.3,1020.9,1031.9,1.0,0.28,,2.0,2.0,11.0,,-0.6
108,2019-01-01 18:00,-2.7,,2.6,270.0,45.0,2.3,-13.0,1021.0,1032.1,0.1,0.01,,1.0,1.0,10.0,,-1.6
108,2019-01-01 19:00,-3.2,,3.2,270.0,45.0,2.2,-13.4,1021.8,1032.9,,,,0.0,0.0,,,-2.5
108,2019-01-01 20:00,-3.9,,3.5,290.0,42.0,1.9,-14.9,1022.2,1033.3,,,,1.0,0.0,,,-3.2
108,2019-01-01 21:00,-4.6,,2.6,340.0,36.0,1.6,-17.4,1022.6,1033.8,,,,0.0,0.0,,,-4.2
108,2019-01-01 22:00,-5.4,,3.1,290.0,43.0,1.8,-16.0,1022.9,1034.1,,,,2.0,0.0,,,-5.1
108,2019-01-01 23:00,-6.0,,1.1,20.0,48.0,1.9,-15.2,1022.7,1033.9,,,,0.0,0.0,,,-5.9
108,2019-01-02 00:00,-6.7,,1.3,320.0,50.0,1.8,-15.4,1023.0,1034.3,,,,0.0,0.0,,,-6.7
108,2019-01-02 01:00,-7.2,,0.8,290.0,52.0,1.8,-15.4,1023.2,1034.5,,,,0.0,0.0,,,-7.2
108,2019-01-02 02:00,-7.8,,1.3,270.0,54.0,1.8,-15.5,1023.6,1034.9,,,,0.0,0.0,,,-7.9
108,2019-01-02 03:00,-8.0,,0.9,290.0,55.0,1.8,-15.4,1023.6,1034.9,,,,0.0,0.0,,,-8.3
108,2019-01-02 04:00,-8.4,,1.3,270.0,59.0,1.9,-14.9,1023.1,1034.4,,,,0.0,0.0,,,-8.7
108,2019-01-02 05:00,-8.5,,0.8,290.0,57.0,1.8,-15.5,1022.9,1034.2,,,,0.0,0.0,,,-9.0
108,2019-01-02 06:00,-8.5,,0.6,270.0,57.0,1.8,-15.5,1023.3,1034.6,,,,0.0,0.0,,,-9.3
108,2019-01-02 07:00,-8.5,,0.7,320.0,61.0,2.0,-14.6,1023.8,1035.1,,,,0.0,0.0,,,-9.6
108,2019-01-02 08:00,-8.7,,0.8,290.0,63.0,2.0,-14.4,1024.5,1035.9,0.0,0.0,,0.0,0.0,,,-9.7
108,2019-01-02 09:00,-7.5,,1.4,320.0,51.0,1.8,-15.9,1025.1,1036.4,0.6,0.26,,0.0,0.0,,,-7.7
108,2019-01-02 10:00,-5.6,,1.5,320.0,40.0,1.6,-17.0,1025.4,1036.6,1.0,0.88,,0.0,0.0,,,-3.0
108,2019-01-02 11:00,-4.1,,2.2,320.0,33.0,1.5,-18.0,1024.8,1036.0,1.0,1.36,,0.0,0.0,,,1.3
108,2019-01-02 12:00,-2.8,,3.2,320.0,29.0,1.4,-18.4,1023.8,1034.9,1.0,1.69,,0.0,0.0,,,4.6
108,2019-01-02 13:00,-1.8,,3.0,320.0,26.0,1.4,-18.8,1022.8,1033.8,1.0,1.81,,0.0,0.0,,,7.2
108,2019-01-02 14:00,-0.2,,2.5,270.0,22.0,1.3,-19.4,1022.2,1033.2,1.0,1.73,,0.0,0.0,,,8.4
108,2019-01-02 15:00,0.0,,2.6,290.0,23.0,1.4,-18.7,1022.2,1033.2,1.0,1.43,,0.0,0.0,,,7.0
108,2019-01-02 16:00,0.0,,2.0,320.0,22.0,1.3,-19.2,1022.2,1033.2,1.0,0.94,,0.0,0.0,,,3.0
108,2019-01-02 17:00,-1.0,,1.8,270.0,32.0,1.8,-15.6,1022.1,1033.1,1.0,0.37,,0.0,0.0,,,-0.7
108,2019-01-02 18:00,-2.6,,2.2,270.0,37.0,1.9,-15.3,1022.8,1033.9,0.1,0.01,,0.0,0.0,,,-1.9
108,2019-01-02 19:00,-3.3,,2.0,270.0,39.0,1.9,-15.3,1023.0,1034.1,,,,0.0,0.0,,,-2.8
108,2019-01-02 20:00,-3.9,,1.1,290.0,43.0,2.0,-14.6,1023.0,1034.1,,,,0.0,0.0,,,-3.6
108,2019-01-02 21:00,-4.4,,1.7,270.0,44.0,1.9,-14.8,1022.9,1034.1,,,,0.0,0.0,,,-4.1
108,2019-01-02 22:00,-4.3,,2.0,320.0,47.0,2.1,-13.9,1023.1,1034.3,,,,0.0,0.0,,,-4.6
108,2019-01-02 23:00,-4.6,,1.6,290.0,47.0,2.0,-14.2,1023.5,1034.7,,,,0.0,0.0,,,-5.1
108,2019-01-03 00:00,-5.4,,2.4,290.0,46.0,1.9,-15.2,1023.8,1035.0,,,,0.0,0.0,,,-5.7
108,2019-01-03 01:00,-6.1,,0.8,320.0,48.0,1.9,-15.3,1023.8,1035.0,,,,0.0,0.0,,,-6.5
108,2019-01-03 02:00,-7.0,,0.8,290.0,53.0,1.9,-14.9,1024.0,1035.3,,,,0.0,0.0,,,-7.2
108,2019-01-03 03:00,-7.5,,0.7,290.0,51.0,1.8,-15.9,1024.2,1035.5,,,,0.0,0.0,,,-7.8
108,2019-01-03 04:00,-7.7,,2.4,270.0,53.0,1.8,-15.6,1024.0,1035.3,,,,0.0,0.0,,,-7.9
108,2019-01-03 05:00,-8.0,,1.1,290.0,57.0,1.9,-15.0,1024.1,1035.4,,,,0.0,0.0,,,-8.2
108,2019-01-03 06:00,-8.1,,1.7,270.0,54.0,1.8,-15.7,1024.5,1035.8,,,,0.0,0.0,,,-8.5
108,2019-01-03 07:00,-8.3,,0.7,360.0,58.0,1.9,-15.1,1024.5,1035.8,,,,0.0,0.0,,,-8.8
108,2019-01-03 08:00,-8.4,,0.9,290.0,56.0,1.8,-15.6,1024.7,1036.1,0.0,0.0,,0.0,0.0,,,-9.1
108,2019-01-03 09:00,-7.7,,0.5,20.0,43.0,1.5,-18.1,1025.3,1036.6,0.6,0.25,,0.0,0.0,,,-7.4
108,2019-01-03 10:00,-4.8,,1.0,320.0,33.0,1.4,-18.6,1025.8,1037.0,1.0,0.86,,0.0,0.0,,,-2.4
108,2019-01-03 11:00,-2.4,,1.3,290.0,30.0,1.5,-17.6,1025.8,1036.9,1.0,1.35,,0.0,0.0,,,2.4
108,2019-01-03 12:00,-0.4,,1.9,290.0,26.0,1.5,-17.6,1025.0,1036.0,1.0,1.68,,0.0,0.0,,,5.8
108,2019-01-03 13:00,1.1,,1.4,270.0,22.0,1.5,-18.3,1024.1,1035.0,1.0,1.79,,0.0,0.0,,,8.3
108,2019-01-03 14:00,2.4,,1.9,180.0,20.0,1.5,-18.3,1023.4,1034.3,1.0,1.69,,0.0,0.0,,,9.3
108,2019-01-03 15:00,2.9,,2.3,180.0,20.0,1.5,-17.9,1023.2,1034.0,1.0,1.37,,1.0,0.0,,,8.0
108,2019-01-03 16:00,3.2,,1.7,180.0,19.0,1.5,-18.2,1022.9,1033.7,1.0,0.92,,0.0,0.0,,,4.4
108,2019-01-03 17:00,1.5,,1.2,290.0,20.0,1.4,-19.0,1023.0,1033.9,1.0,0.36,,0.0,0.0,,,-0.5
108,2019-01-03 18:00,-0.4,,1.6,270.0,22.0,1.3,-19.5,1023.3,1034.3,0.1,0.01,,0.0,0.0,,,-1.7
108,2019-01-03 19:00,-0.9,,2.0,290.0,24.0,1.4,-18.9,1024.2,1035.2,,,,0.0,0.0,,,-2.4
108,2019-01-03 20:00,-1.7,,1.5,270.0,45.0,2.4,-12.1,1025.0,1036.1,,,,0.0,0.0,,,-2.6
108,2019-01-03 21:00,-2.7,,0.7,290.0,47.0,2.4,-12.4,1024.1,1035.2,,,,0.0,0.0,,,-3.4
108,2019-01-03 22:00,-3.3,,0.7,290.0,42.0,2.0,-14.4,1024.0,1035.1,,,,0.0,0.0,,,-4.1
108,2019-01-03 23:00,-3.9,,1.3,270.0,41.0,1.9,-15.2,1024.6,1035.8,,,,0.0,0.0,,,-4.5
108,2019-01-04 00:00,-3.9,,0.8,290.0,47.0,2.2,-13.5,1024.3,1035.5,,,,0.0,0.0,,,-5.0
108,2019-01-04 01:00,-4.1,,0.4,0.0,46.0,2.1,-14.0,1023.9,1035.1,,,,4.0,0.0,,,-5.4
108,2019-01-04 02:00,-4.5,,0.6,20.0,44.0,1.9,-14.9,1024.0,1035.2,,,,0.0,0.0,,,-5.9
108,2019-01-04 03:00,-4.9,,1.1,50.0,47.0,2.0,-14.5,1023.2,1034.4,,,,0.0,0.0,,,-6.2
108,2019-01-04 04:00,-5.2,,0.6,20.0,50.0,2.1,-14.0,1023.0,1034.2,,,,0.0,0.0,,,-6.6
108,2019-01-04 05:00,-5.5,,0.7,360.0,47.0,1.9,-15.0,1022.5,1033.7,,,,0.0,0.0,,,-7.0
108,2019-01-04 06:00,-5.8,,0.8,20.0,50.0,2.0,-14.5,1022.1,1033.3,,,,0.0,0.0,,,-7.2
